h,d_km2
0.0,0.0
0.5,6.942064151800396
1.0,13.125307520293745
1.5,17.427146423274603
2.0,22.624686870243185
2.5,23.11430684730227
3.0,23.16943464769979
3.5,25.91645265129758
4.0,27.895183333760325
4.5,31.813404127994403
5.0,35.06022348222678
5.5,38.61314102047713
6.0,42.219194566598276
6.5,43.9884615296852
7.0,46.085181354576385
7.5,47.74084475038447
8.0,49.23828788892015
8.5,50.818072249481816
9.0,51.797313864762486
9.5,52.57648294236409
10.0,53.02952994383079
10.5,53.278625927861434
11.0,53.28094650712543
11.5,53.843079418161466
12.0,53.681184050313384
